engine;dev;jobs;targetiops;prociops;polling;terse_version_3;fio_version;jobname;groupid;error;read_kb;read_bandwidth;read_iops;read_runtime_ms;read_slat_min;read_slat_max;read_slat_mean;read_slat_dev;read_clat_min;read_clat_max;read_clat_mean;read_clat_dev;read_clat_pct01;read_clat_pct02;read_clat_pct03;read_clat_pct04;read_clat_pct05;read_clat_pct06;read_clat_pct07;read_clat_pct08;read_clat_pct09;read_clat_pct10;read_clat_pct11;read_clat_pct12;read_clat_pct13;read_clat_pct14;read_clat_pct15;read_clat_pct16;read_clat_pct17;read_clat_pct18;read_clat_pct19;read_clat_pct20;read_tlat_min;read_lat_max;read_lat_mean;read_lat_dev;read_bw_min;read_bw_max;read_bw_agg_pct;read_bw_mean;read_bw_dev;write_kb;write_bandwidth;write_iops;write_runtime_ms;write_slat_min;write_slat_max;write_slat_mean;write_slat_dev;write_clat_min;write_clat_max;write_clat_mean;write_clat_dev;write_clat_pct01;write_clat_pct02;write_clat_pct03;write_clat_pct04;write_clat_pct05;write_clat_pct06;write_clat_pct07;write_clat_pct08;write_clat_pct09;write_clat_pct10;write_clat_pct11;write_clat_pct12;write_clat_pct13;write_clat_pct14;write_clat_pct15;write_clat_pct16;write_clat_pct17;write_clat_pct18;write_clat_pct19;write_clat_pct20;write_tlat_min;write_lat_max;write_lat_mean;write_lat_dev;write_bw_min;write_bw_max;write_bw_agg_pct;write_bw_mean;write_bw_dev;cpu_user;cpu_sys;cpu_csw;cpu_mjf;cpu_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_util
io_uring;/dev/nvme0n1;1;1000;1000;0;3;fio-3.18-8-g1b5e1;run;0;0;120008;4000;1000;30001;4;55;29.255292;1.126380;16;424;32.914472;8.243010;1.000000%=31;5.000000%=31;10.000000%=32;20.000000%=32;30.000000%=32;40.000000%=32;50.000000%=32;60.000000%=32;70.000000%=32;80.000000%=33;90.000000%=33;95.000000%=33;99.000000%=34;99.500000%=40;99.900000%=124;99.950000%=234;99.990000%=395;0%=0;0%=0;0%=0;23;516;63.301951;7.891901;4000;4008;100.000000%;4006.728814;2.905586;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.000000%;8.163333%;59903;0;0;99.9%;0.1%;0.1%;0.1%;0.1%;0.1%;0.0%;0.00%;0.00%;0.00%;0.11%;99.42%;0.30%;0.12%;0.05%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;59995;0;0;0;1992;0;0;99.90%
io_uring;/dev/nvme0n1;1;100000;100000;0;3;fio-3.18-8-g1b5e1;run;0;0;12000008;399986;99996;30001;1;25;1.543139;0.410676;4;372;14.368708;3.644391;1.000000%=8;5.000000%=9;10.000000%=9;20.000000%=10;30.000000%=11;40.000000%=14;50.000000%=15;60.000000%=15;70.000000%=16;80.000000%=17;90.000000%=18;95.000000%=18;99.000000%=20;99.500000%=27;99.900000%=42;99.950000%=46;99.990000%=52;0%=0;0%=0;0%=0;9;374;15.944830;3.722934;400082;400520;100.000000%;400480.711864;58.142231;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;41.920000%;15.890000%;1313777;0;0;42.2%;57.2%;0.6%;0.1%;0.1%;0.1%;0.0%;0.00%;0.00%;16.34%;82.60%;1.04%;0.02%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;5996576;0;0;0;79001;0;0;99.95%
io_uring;/dev/nvme0n1;1;200000;200000;0;3;fio-3.18-8-g1b5e1;run;0;0;24000000;799973;199993;30001;1;139;1.455771;0.471866;4;171;10.777727;5.016396;1.000000%=8;5.000000%=8;10.000000%=8;20.000000%=9;30.000000%=9;40.000000%=9;50.000000%=10;60.000000%=10;70.000000%=10;80.000000%=10;90.000000%=11;95.000000%=12;99.000000%=38;99.500000%=46;99.900000%=65;99.950000%=80;99.990000%=95;0%=0;0%=0;0%=0;8;253;12.269010;5.126259;800758;801072;100.000000%;800963.491525;56.737257;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;44.920000%;34.423333%;3138806;0;0;24.1%;48.2%;25.5%;1.8%;0.4%;0.1%;0.0%;0.00%;0.00%;47.22%;49.96%;2.44%;0.37%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;11993202;0;0;0;112173;0;0;99.95%
io_uring;/dev/nvme0n1;1;300000;300000;0;3;fio-3.18-8-g1b5e1;run;0;0;36000052;1199961;299990;30001;1;105;1.779322;0.688527;5;221;35.142882;25.396950;1.000000%=8;5.000000%=9;10.000000%=9;20.000000%=12;30.000000%=17;40.000000%=22;50.000000%=28;60.000000%=34;70.000000%=40;80.000000%=49;90.000000%=86;95.000000%=92;99.000000%=101;99.500000%=112;99.900000%=120;99.950000%=122;99.990000%=128;0%=0;0%=0;0%=0;8;223;36.983498;25.386154;1200505;1201680;100.000000%;1201421.033898;180.228683;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;51.820000%;42.223333%;788188;0;0;5.0%;10.0%;19.9%;37.7%;17.6%;9.8%;0.0%;0.00%;0.00%;11.61%;22.18%;46.67%;18.41%;1.13%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;17989585;0;0;0;166823;0;0;99.97%
io_uring;/dev/nvme0n1;1;400000;400000;0;3;fio-3.18-8-g1b5e1;run;0;0;39645496;1321472;330367;30001;1;139;1.880997;0.717435;14;276;93.921746;4.417186;1.000000%=86;5.000000%=89;10.000000%=90;20.000000%=91;30.000000%=91;40.000000%=92;50.000000%=93;60.000000%=94;70.000000%=94;80.000000%=95;90.000000%=96;95.000000%=97;99.000000%=118;99.500000%=121;99.900000%=125;99.950000%=127;99.990000%=146;0%=0;0%=0;0%=0;16;280;95.864346;4.374554;1319128;1326112;100.000000%;1323094.762712;1700.867723;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;53.690000%;46.303333%;121;0;0;0.0%;0.0%;0.0%;0.0%;0.0%;100.0%;0.0%;0.00%;0.00%;0.00%;0.01%;0.01%;96.79%;3.21%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;20078785;0;0;0;193994;0;0;99.96%
io_uring;/dev/nvme0n1;1;500000;500000;0;3;fio-3.18-8-g1b5e1;run;0;0;39557504;1318539;329633;30001;1;141;2.092343;0.676453;11;259;94.131749;4.556507;1.000000%=87;5.000000%=90;10.000000%=90;20.000000%=91;30.000000%=91;40.000000%=92;50.000000%=93;60.000000%=93;70.000000%=94;80.000000%=96;90.000000%=97;95.000000%=98;99.000000%=119;99.500000%=122;99.900000%=126;99.950000%=128;99.990000%=144;0%=0;0%=0;0%=0;12;261;96.286934;4.553233;1316624;1322352;100.000000%;1320165.338983;1119.083917;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;48.840000%;51.160000%;146;0;0;0.0%;0.0%;0.0%;0.0%;0.0%;100.0%;0.0%;0.00%;0.00%;0.00%;0.01%;0.01%;96.53%;3.47%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;19936348;0;0;0;191191;0;0;99.97%
io_uring;/dev/nvme0n1;1;600000;600000;0;3;fio-3.18-8-g1b5e1;run;0;0;39414664;1313778;328443;30001;1;29;2.056831;0.715849;14;169;94.482184;4.451399;1.000000%=87;5.000000%=90;10.000000%=90;20.000000%=91;30.000000%=92;40.000000%=92;50.000000%=93;60.000000%=94;70.000000%=95;80.000000%=96;90.000000%=97;95.000000%=98;99.000000%=119;99.500000%=122;99.900000%=126;99.950000%=128;99.990000%=136;0%=0;0%=0;0%=0;16;171;96.624538;4.434201;1312648;1317552;100.000000%;1315370.135593;1144.930828;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;48.850000%;51.143333%;99;0;0;0.0%;0.0%;0.0%;0.0%;0.0%;100.0%;0.0%;0.00%;0.00%;0.00%;0.01%;0.01%;96.43%;3.57%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;19830468;0;0;0;191186;0;0;99.99%
io_uring;/dev/nvme0n1;2;1000;500;0;3;fio-3.18-8-g1b5e1;run;0;0;120016;4000;1000;30001;6;33;26.806009;6.348215;16;435;29.469433;13.757167;1.000000%=16;5.000000%=16;10.000000%=16;20.000000%=18;30.000000%=26;40.000000%=32;50.000000%=33;60.000000%=33;70.000000%=33;80.000000%=33;90.000000%=34;95.000000%=34;99.000000%=40;99.500000%=50;99.900000%=268;99.950000%=350;99.990000%=428;0%=0;0%=0;0%=0;26;528;57.334135;14.937419;4000;4022;100.000000%;4006.881356;4.047881;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.886667%;1.923333%;53246;0;0;99.8%;0.1%;0.1%;0.1%;0.1%;0.1%;0.0%;0.00%;0.00%;0.00%;22.66%;76.82%;0.25%;0.17%;0.11%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;59996;0;0;0;1757;0;0;99.79%
io_uring;/dev/nvme0n1;2;100000;50000;0;3;fio-3.18-8-g1b5e1;run;0;0;12000008;399986;99996;30001;1;30;1.888061;0.129170;2;70;10.732269;1.802229;1.000000%=9;5.000000%=10;10.000000%=10;20.000000%=10;30.000000%=10;40.000000%=10;50.000000%=10;60.000000%=10;70.000000%=10;80.000000%=10;90.000000%=11;95.000000%=11;99.000000%=17;99.500000%=22;99.900000%=37;99.950000%=42;99.990000%=45;0%=0;0%=0;0%=0;9;72;12.655938;1.802168;400028;400504;100.000000%;400472.474576;32.620496;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;48.595000%;9.120000%;2965989;0;0;98.7%;1.3%;0.1%;0.0%;0.0%;0.0%;0.0%;0.00%;0.01%;5.25%;94.15%;0.60%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;5996616;0;0;0;61413;0;0;99.95%
io_uring;/dev/nvme0n1;2;200000;100000;0;3;fio-3.18-8-g1b5e1;run;0;0;24000016;799973;199993;30001;1;29;1.639813;0.276244;4;111;10.828354;2.175708;1.000000%=8;5.000000%=9;10.000000%=9;20.000000%=9;30.000000%=9;40.000000%=10;50.000000%=10;60.000000%=10;70.000000%=11;80.000000%=11;90.000000%=12;95.000000%=12;99.000000%=18;99.500000%=20;99.900000%=41;99.950000%=44;99.990000%=51;0%=0;0%=0;0%=0;9;113;12.501516;2.249240;800584;801008;100.000000%;800956.508475;40.283804;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;47.636667%;17.901667%;3554165;0;0;49.3%;50.3%;0.4%;0.1%;0.1%;0.1%;0.0%;0.00%;0.00%;34.92%;64.55%;0.52%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;11993151;0;0;0;121257;0;0;99.95%
